姓名;数据库1时间;数据库3时间;时间差
延煦;1866;1856;-10
志和;1866;1852;-21
桂清;1866;1799;-76
额勒和布;1867;1852;-19
清安;1867;1826;-43
瑞联;1867;1853;-19
志和;1867;1852;-21
桂清;1867;1799;-76
额勒和布;1869;1852;-19
清安;1869;1826;-43
瑞联;1869;1853;-19
志和;1869;1852;-21
绵宜;1870;1852;-38
额勒和布;1871;1852;-19
绵宜;1871;1852;-38
瑞联;1871;1853;-19
瑞联;1872;1853;-19
绵宜;1872;1852;-38
瑞联;1872;1853;-19
志和;1873;1852;-21
继格;1873;1852;-21
桂清;1874;1799;-76
桂清;1875;1799;-76
绵宜;1879;1852;-38
啟秀;1879;1865;-17
宝森;1881;1860;-21
啟秀;1881;1865;-17
启秀;1882;1865;-17
绵宜;1890;1852;-38
赫宁;1773;1771;-2
景福;1773;1752;-21
福珠里;1777;1748;-29
索柱;1788;1661;-127
达春;1796;1760;-38
庆霖;1796;1841;2
达春;1797;1760;-38
庆霖;1797;1841;2
吉禄;1797;1805;-91
赛冲阿;1797;1652;-160
达春;1798;1760;-38
吉禄;1798;1805;-91
赛冲阿;1798;1652;-160
禄成;1812;1737;-90
苏清阿;1812;1838;26
禄成;1816;1737;-90
玉恒;1816;1655;-248
禄成;1817;1737;-90
玉恒;1817;1655;-248
禄成;1817;1737;-90
玉恒;1817;1655;-248
富永;1824;1730;-97
安福;1826;1745;-81
富永;1826;1730;-97
硕德;1826;1809;-21
