公历年时间差;科年年号;科年时间;科年公历;科年干支;科;名次;科名;甲第;姓名;数据库3原名;省;府;县或州;旗分;民族;民族特点;先赋身份;旗人驻防地;说明;籍1;籍2;政治身份
13;嘉庆;七;1802;壬戌;正科;120;赐同进士出身;3;海龄;;镶黄;汉军;;镶黄;汉军;;;;;;;旗人
-8;道光;六年;1826;丙戌;正科;102;赐进士出身;2;瑞麟;;镶蓝;蒙古;;镶蓝;蒙古;;;;;;;旗人
20;道光;二年;1822;壬午;恩科;114;赐同进士出身;3;吉年;;镶蓝;满洲;;镶蓝;满洲;;;;;;;旗人
-29;康熙;三十;1691;辛未;正科;085;赐同进士出身;3;巴海;;镶白;满洲;;镶白;满洲;;;;;;;旗人
-29;康熙;三十;1691;辛未;正科;085;赐同进士出身;3;巴海;;镶白;满洲;;镶白;满洲;;;;;;;旗人
-29;康熙;三十;1691;辛未;正科;085;赐同进士出身;3;巴海;;镶白;满洲;;镶白;满洲;;;;;;;旗人
-3;道光;十八;1838;戊戍;正科;074;赐进士出身;2;苏清阿;;镶红;满洲;;镶红;满洲;;;;;;;旗人
35;道光;三年;1823;癸未;正科;085;赐进士出身;2;富明阿;;正红;蒙古;;正红;蒙古;;;;;;;旗人
49;康熙;三十三;1694;甲戍;正科;012;赐同进士出身;3;傅森;;镶白;满洲;;镶白;满洲;;;;;;;旗人
35;道光;三年;1823;癸未;正科;085;赐进士出身;2;富明阿;;正红;蒙古;;正红;蒙古;;;;;;;旗人
24;顺治;十二;1655;乙未;满蒙正科;001;赐进士及第;1;图尔臣;图尔宸;正白;满洲;;正白;满洲;;;;;;;旗人
-17;康熙;五十一;1712;壬辰;正科;043;赐进士出身;2;薄海;;顺天府;;大兴县;;;;;;;;;
2;雍正;二;1724;甲辰;正科;188;赐同进士出身;3;富鼐;傅鼐;正蓝;满洲;;正蓝;满洲;;;;;;;旗人
-5;乾隆;十七;1752;壬申;翻译科;005;翻译进士;;富德;;正黄;满洲;常宁佐领下;正黄;满洲;;;;;;;旗人
42;乾隆;十;1745;乙丑;翻译科;001;翻译进士;;玉鼎柱;;镶蓝;满洲;包衣托云太佐领下;镶蓝;满洲;;宗室;;钦赐;;;旗人
41;乾隆;十六;1751;辛未;正科;014;赐进士出身;2;德瑛;;正白;满洲;;正白;满洲;;;;;;;旗人
12;同治;七;1868;戊辰;翻译科;028;翻译进士;;双福;;正黄;满洲;同治七年戊辰科;正黄;满洲;;;;翻译进士;;;旗人
-25;光绪;十六;1890;庚寅;恩科;166;赐同进士出身;3;庆春;;镶蓝;满洲;;镶蓝;满洲;包衣;;;;;;旗人
-25;光绪;十六;1890;庚寅;恩科;166;赐同进士出身;3;庆春;;镶蓝;满洲;;镶蓝;满洲;包衣;;;;;;旗人
-25;光绪;十六;1890;庚寅;恩科;166;赐同进士出身;3;庆春;;镶蓝;满洲;;镶蓝;满洲;包衣;;;;;;旗人
23;光绪;三;1877;丁丑;正科;102;赐进士出身;2;讷钦;;正白;满洲;;正白;满洲;;;;;;;旗人
14;乾隆;十七;1752;壬申;恩科;128;赐同进士出身;3;永安;;镶白;蒙古;;镶白;蒙古;;;;;;;旗人
-8;嘉庆;十;1805;乙丑;正科;096;赐同进士出身;3;吉禄;;镶白;蒙古;;镶白;蒙古;;;;;;;旗人
-27;道光;十五;1835;乙未;正科;123;赐同进士出身;3;伊铿额;;镶红;满洲;;镶红;满洲;;;;;;;旗人
-30;道光;二十;1840;庚子;正科;022;赐同进士出身;3;玉衡;;正红;蒙古;;正红;蒙古;;;;;;;旗人
-6;道光;三十年;1850;庚戌;正科;075;赐同进士出身;3;萨炳阿;;正蓝;满洲;;正蓝;满洲;;;;;;;旗人
35;道光;三年;1823;癸未;正科;085;赐进士出身;2;富明阿;;正红;蒙古;;正红;蒙古;;;;;;;旗人
12;同治;七;1868;戊辰;翻译科;028;翻译进士;;双福;;正黄;满洲;同治七年戊辰科;正黄;满洲;;;;翻译进士;;;旗人
41;顺治;十二;1655;乙未;满蒙正科;014;赐同进士出身;3;舒书;;镶白;;;镶白;;;;;;;;旗人
-27;道光;十五;1835;乙未;正科;123;赐同进士出身;3;伊铿额;;镶红;满洲;;镶红;满洲;;;;;;;旗人
7;嘉庆;六;1801;辛酉;恩科;156;赐同进士出身;3;恒福;;正白;满洲;;正白;满洲;;;;;;;旗人
-30;道光;二十;1840;庚子;正科;022;赐同进士出身;3;玉衡;;正红;蒙古;;正红;蒙古;;;;;;;旗人
16;嘉庆;十四;1809;己已;恩科;061;赐同进士出身;3;硕德;;镶黄;满洲;;镶黄;满洲;;觉罗;;;;;旗人
12;同治;七;1868;戊辰;翻译科;028;翻译进士;;双福;;正黄;满洲;同治七年戊辰科;正黄;满洲;;;;翻译进士;;;旗人
12;同治;七;1868;戊辰;翻译科;028;翻译进士;;双福;;正黄;满洲;同治七年戊辰科;正黄;满洲;;;;翻译进士;;;旗人
17;乾隆;元;1736;丙辰;正科;231;赐同进士出身;3;三格;;镶白;满洲;;镶白;满洲;;;;;;;旗人
