姓名;数据库2时间;数据库3时间;时间差
赛冲阿;1794;1652;-166
吉禄;1797;1805;-80
伊铿额;1808;1835;27
禄成;1809;1737;-85
玉衡;1810;1655;-244
禄成;1816;1737;-85
萨炳阿;1844;1850;-3
瑞昌;1853;1832;-21
麟瑞;1853;1886;33
庆林;1865;1841;-24
特克慎;1865;1769;-96
徳英;1867;1751;-119
毓福;1867;1892;18
毓福;1870;1892;18
成勋;1898;1736;-162
玛奇;1707;1646;-61
长生;1736;1706;-38
富珠哩;1774;1748;-36
达松阿;1777;1863;56
庆霖;1795;1841;-24
班迪;1847;1655;-192
富春;1854;1829;-25
富明阿;1858;1823;-43
德楞额;1869;1835;-34
富隆阿;1861;1739;-122
庆林;1865;1841;-24
双福;1875;1868;-12
全福;1901;1808;-93
庆禄;1902;1814;-88
舒书;1696;1655;-41
许昌;1721;1664;-57
哲库纳;1731;1652;-102
舒泰;1760;1883;123
伊铿额;1802;1835;27
伊铿额;1808;1835;27
恒福;1808;1840;32
玉衡;1810;1655;-244
硕德;1825;1809;-22
魁福;1854;1844;-12
德楞额;1863;1835;-34
双福;1869;1868;-12
双福;1880;1868;-12
富魁;1889;1727;-163
柏英;1889;1737;-152
清葆;1744;1838;84
德宁;1753;1784;31
三格;1753;1736;-18
舒通阿;1765;1801;27
富珠哩;1766;1748;-36
舒通阿;1774;1801;27
赛冲阿;1797;1652;-166
达松阿;1807;1863;56
长德;1833;1727;-106
胜安;1866;1790;-76
福魁;1890;1727;-163
舒通阿;1762;1801;27
富珠哩;1784;1748;-36
萨炳阿;1846;1850;-3
德楞额;1861;1835;-34
徳英;1864;1751;-119
胜安;1866;1790;-76
温岱;1683;1700;17
拉资;1694;1655;-39
官保;1699;1751;-108
三格;1754;1736;-18
傅玉;1758;1745;-149
富珠哩;1770;1748;-36
庆临;1778;1841;-24
富春;1842;1829;-25
魁福;1856;1844;-12
关保;1859;1751;-108
依克唐阿;1876;1826;-69
禄彭;1887;1883;-7
春山;1904;1712;-192
清葆;1744;1838;84
锡尔璊;1745;1739;-6
巴海;1749;1691;-59
哲库纳;1754;1652;-102
书通阿;1762;1801;27
常岳;1767;1646;-121
禄成;1809;1737;-85
禄成;1809;1737;-85
富永;1823;1730;-93
国祥;1834;1859;25
庆玺;1849;1809;-40
瑞昌;1851;1832;-21
萨炳阿;1853;1850;-3
瑞昌;1853;1832;-21
毓福;1874;1892;18
穆隆阿;1894;1802;-92
寿长;1895;1850;-45
