姓名;科年公歷;旗分;民族
富俊;1779;正黄;蒙古
富俊;1779;正黄;蒙古
富俊;1779;正黄;蒙古
富俊;1779;正黄;蒙古
寶興;1805;镶黄;满洲
寶昌;1874;正黄;满洲
寶興;1805;镶黄;满洲
寶興;1805;镶黄;满洲
寶昌;1874;正黄;满洲
寶興;1805;镶黄;满洲
寶興;1805;镶黄;满洲
錫恩;1883;镶黄;满洲
皂保;1845;镶黄;满洲
銘安;1856;镶黄;满洲
銘安;1856;镶黄;满洲
銘安;1856;镶黄;满洲
銘安;1856;镶黄;满洲
伊克唐阿;1826;正红;满洲
毓祿;1841;正白;满洲
伊克唐阿;1826;正红;满洲
毓祿;1841;正白;满洲
伊克唐阿;1826;正红;满洲
毓祿;1841;正白;满洲
伊克唐阿;1826;正红;满洲
毓祿;1841;正白;满洲
伊克唐阿;1826;正红;满洲
毓祿;1841;正白;满洲
伊克唐阿;1826;正红;满洲
伊克唐阿;1826;正红;满洲
伊克唐阿;1826;正红;满洲
伊克唐阿;1826;正红;满洲
延茂;1863;正白;汉军
趙爾巽;1874;正蓝;汉军
福淳;1829;镶黄;满洲
貴慶;1799;镶白;满洲
貴慶;1799;镶白;满洲
貴慶;1799;镶白;满洲
青麐;1841;正白;满洲
青麐;1841;正白;满洲
青麐;1841;正白;满洲
呈麟;1814;正蓝;满洲
呈麟;1814;正蓝;满洲
吉年;1822;镶蓝;满洲
文俊;1895;镶黄;满洲
文俊;1895;镶黄;满洲
文俊;1895;镶黄;满洲
文俊;1895;镶黄;满洲
文蔚;1820;正蓝;满洲
吉年;1822;镶蓝;满洲
景麟;1809;镶红;满洲
景麟;1809;镶红;满洲
景麟;1809;镶红;满洲
景麟;1809;镶红;满洲
景麟;1809;镶红;满洲
德春;1819;镶黄;满洲
德春;1819;镶黄;满洲
鈺昶;1889;镶红;满洲
鈺昶;1889;镶红;满洲
鈺昶;1889;镶红;满洲
鈺昶;1889;镶红;满洲
鈺昶;1889;镶红;满洲
鈺昶;1889;镶红;满洲
廷杰;1876;正白;满洲
玉衡;1840;正红;蒙古
玉衡;1840;正红;蒙古
玉衡;1840;正红;蒙古
玉衡;1840;正红;蒙古
廷杰;1876;正白;满洲
玉衡;1840;正红;蒙古
廷杰;1876;正白;满洲
廷杰;1876;正白;满洲
德瑛;1751;正白;满洲
傅森;1694;镶白;满洲
德瑛;1751;正白;满洲
榮麟;1789;正蓝;满洲
榮麟;1789;正蓝;满洲
德文;1790;正白;满洲
薩彬圖;1780;镶白;满洲
榮麟;1789;正蓝;满洲
富俊;1779;正黄;蒙古
德文;1790;正白;满洲
舒敏;1742;正白;满洲
恩寧;1808;正红;满洲
德文;1790;正白;满洲
德文;1790;正白;满洲
舒敏;1742;正白;满洲
恩寧;1808;正红;满洲
德文;1790;正白;满洲
德文;1790;正白;满洲
舒敏;1742;正白;满洲
恩寧;1808;正红;满洲
德文;1790;正白;满洲
舒敏;1742;正白;满洲
瑞林;1809;正蓝;满洲
舒明;1724;正黄;满洲
海齡;1739;镶白;满洲
善慶;1876;正白;满洲
慧端;1802;镶蓝;满洲
多山;1795;正蓝;蒙古
善慶;1876;正白;满洲
慧端;1802;镶蓝;满洲
多山;1795;正蓝;蒙古
海齡;1739;镶白;满洲
多山;1795;正蓝;蒙古
凱音布;1801;镶蓝;满洲
那丹珠;1817;镶白;满洲
德興;1817;镶黄;满洲
德興;1817;镶黄;满洲
德春;1819;镶黄;满洲
德興;1817;镶黄;满洲
德春;1819;镶黄;满洲
貴慶;1799;镶白;满洲
德興;1817;镶黄;满洲
德春;1819;镶黄;满洲
文蔚;1820;正蓝;满洲
德興;1817;镶黄;满洲
德興;1817;镶黄;满洲
德興;1817;镶黄;满洲
德春;1819;镶黄;满洲
文蔚;1820;正蓝;满洲
文蔚;1820;正蓝;满洲
德興;1817;镶黄;满洲
德春;1819;镶黄;满洲
文蔚;1820;正蓝;满洲
麟魁;1826;镶白;满洲
功普;1817;正蓝;满洲
德春;1819;镶黄;满洲
文蔚;1820;正蓝;满洲
麟魁;1826;镶白;满洲
德誠;1826;镶蓝;满洲
德春;1819;镶黄;满洲
德誠;1826;镶蓝;满洲
柏葰;1826;正蓝;蒙古
惟勤;1809;镶蓝;满洲
明訓;1820;正黄;蒙古
柏葰;1826;正蓝;蒙古
惟勤;1809;镶蓝;满洲
明訓;1820;正黄;蒙古
明訓;1820;正黄;蒙古
廣林;1814;正黄;蒙古
培成;1903;镶黄;满洲
明訓;1820;正黄;蒙古
靈桂;1838;正蓝;满洲
玉書;1829;正白;满洲
廣林;1814;正黄;蒙古
培成;1903;镶黄;满洲
廣林;1814;正黄;蒙古
培成;1903;镶黄;满洲
和色本;1823;正蓝;满洲
恒春;1820;正白;满洲
廣林;1814;正黄;蒙古
培成;1903;镶黄;满洲
和色本;1823;正蓝;满洲
錫齡;1841;镶蓝;满洲
倭仁;1829;正红;蒙古
和潤;1840;镶蓝;满洲
富呢雅杭阿;1844;镶红;蒙古
倭仁;1829;正红;蒙古
文俊;1895;镶黄;满洲
和潤;1840;镶蓝;满洲
倭仁;1829;正红;蒙古
倭仁;1829;正红;蒙古
文俊;1895;镶黄;满洲
和潤;1840;镶蓝;满洲
倭仁;1829;正红;蒙古
倭仁;1829;正红;蒙古
煜綸;1844;正红;满洲
和潤;1840;镶蓝;满洲
寶珣;1841;镶黄;满洲
清安;1850;镶蓝;满洲
志和;1852;正蓝;满洲
貴慶;1799;镶白;满洲
寶珣;1841;镶黄;满洲
額勒和布;1852;镶蓝;满洲
清安;1850;镶蓝;满洲
延煦;1856;正蓝;满洲
志和;1852;正蓝;满洲
貴慶;1799;镶白;满洲
額勒和布;1852;镶蓝;满洲
額勒和布;1852;镶蓝;满洲
清安;1850;镶蓝;满洲
瑞聯;1853;正蓝;满洲
志和;1852;正蓝;满洲
貴慶;1799;镶白;满洲
額勒和布;1852;镶蓝;满洲
額勒和布;1852;镶蓝;满洲
清安;1850;镶蓝;满洲
瑞聯;1853;正蓝;满洲
志和;1852;正蓝;满洲
額勒和布;1852;镶蓝;满洲
額勒和布;1852;镶蓝;满洲
麟書;1853;正蓝;满洲
綿宜;1852;镶白;满洲
瑞林;1809;正蓝;满洲
額勒和布;1852;镶蓝;满洲
額勒和布;1852;镶蓝;满洲
綿宜;1852;镶白;满洲
瑞聯;1853;正蓝;满洲
額勒和布;1852;镶蓝;满洲
瑞聯;1853;正蓝;满洲
麟書;1853;正蓝;满洲
綿宜;1852;镶白;满洲
銘安;1856;镶黄;满洲
瑞聯;1853;正蓝;满洲
志和;1852;正蓝;满洲
麟書;1853;正蓝;满洲
繼格;1852;正白;满洲
銘安;1856;镶黄;满洲
志和;1852;正蓝;满洲
志和;1852;正蓝;满洲
麟書;1853;正蓝;满洲
繼格;1852;正白;满洲
銘安;1856;镶黄;满洲
貴慶;1799;镶白;满洲
志和;1852;正蓝;满洲
志和;1852;正蓝;满洲
麟書;1853;正蓝;满洲
繼格;1852;正白;满洲
銘安;1856;镶黄;满洲
貴慶;1799;镶白;满洲
志和;1852;正蓝;满洲
蘇勒布;1841;正红;满洲
繼格;1852;正白;满洲
銘安;1856;镶黄;满洲
興恩;1852;正白;满洲
蘇勒布;1841;正红;满洲
繼格;1852;正白;满洲
銘安;1856;镶黄;满洲
興恩;1852;正白;满洲
蘇勒布;1841;正红;满洲
綿宜;1852;镶白;满洲
綿宜;1852;镶白;满洲
銘安;1856;镶黄;满洲
銘安;1856;镶黄;满洲
興恩;1852;正白;满洲
興恩;1852;正白;满洲
蘇勒布;1841;正红;满洲
綿宜;1852;镶白;满洲
啓秀;1865;正白;满洲
興恩;1852;正白;满洲
松森;1865;正蓝;满洲
寶森;1860;镶蓝;满洲
啓秀;1865;正白;满洲
興恩;1852;正白;满洲
啓秀;1865;正白;满洲
寶森;1860;镶蓝;满洲
興恩;1852;正白;满洲
啓秀;1865;正白;满洲
松森;1865;正蓝;满洲
寶森;1860;镶蓝;满洲
阿克丹;1860;正白;满洲
啓秀;1865;正白;满洲
松森;1865;正蓝;满洲
寶森;1860;镶蓝;满洲
阿克丹;1860;正白;满洲
啓秀;1865;正白;满洲
松森;1865;正蓝;满洲
寶森;1860;镶蓝;满洲
阿克丹;1860;正白;满洲
啓秀;1865;正白;满洲
松森;1865;正蓝;满洲
阿克丹;1860;正白;满洲
綿宜;1852;镶白;满洲
英煦;1871;镶黄;满洲
阿克丹;1860;正白;满洲
綿宜;1852;镶白;满洲
英煦;1871;镶黄;满洲
阿克丹;1860;正白;满洲
綿宜;1852;镶白;满洲
英煦;1871;镶黄;满洲
阿克丹;1860;正白;满洲
綿宜;1852;镶白;满洲
英煦;1871;镶黄;满洲
阿克丹;1860;正白;满洲
綿宜;1852;镶白;满洲
啓秀;1865;正白;满洲
英煦;1871;镶黄;满洲
綿宜;1852;镶白;满洲
啓秀;1865;正白;满洲
英煦;1871;镶黄;满洲
綿宜;1852;镶白;满洲
英煦;1871;镶黄;满洲
英煦;1871;镶黄;满洲
英煦;1871;镶黄;满洲
鍾靈;1880;正蓝;满洲
英煦;1871;镶黄;满洲
鍾靈;1880;正蓝;满洲
薩廉;1880;镶蓝;满洲
英煦;1871;镶黄;满洲
鍾靈;1880;正蓝;满洲
崇寬;1880;镶蓝;满洲
薩廉;1880;镶蓝;满洲
鍾靈;1880;正蓝;满洲
薩廉;1880;镶蓝;满洲
鍾靈;1880;正蓝;满洲
薩廉;1880;镶蓝;满洲
鍾靈;1880;正蓝;满洲
薩廉;1880;镶蓝;满洲
鍾靈;1880;正蓝;满洲
景厚;1886;镶蓝;满洲
薩廉;1880;镶蓝;满洲
儒林;1890;镶蓝;满洲
鍾靈;1880;正蓝;满洲
廷杰;1876;正白;满洲
景厚;1886;镶蓝;满洲
鍾靈;1880;正蓝;满洲
鍾靈;1880;正蓝;满洲
瓦爾達;1700;镶白;满洲
景福;1752;镶白;满洲
瓦爾達;1700;镶白;满洲
福柱禮;1748;正蓝;满洲
索柱;1676;镶蓝;满洲
達椿;1760;镶白;满洲
青麐;1841;正白;满洲
達椿;1760;镶白;满洲
青麐;1841;正白;满洲
吉祿;1742;正黄;满洲
賽沖阿;1652;正黄;满洲
達椿;1760;镶白;满洲
吉祿;1742;正黄;满洲
賽沖阿;1652;正黄;满洲
祿成;1737;镶黄;满洲
蘇清阿;1838;镶红;满洲
祿成;1737;镶黄;满洲
祿成;1737;镶黄;满洲
祿成;1737;镶黄;满洲
安福;1745;正白;满洲
碩德;1809;镶黄;满洲
